"NICA","TIPO_VIA","NOMBRE_VIA","NUMERO","ESCALERA","PISO","PUERTA","COD_POSTAL","PROVINCIA","LOCALIDAD","MUNICIPIO","TELEFONO","AMP_DOMICILIO"
18927,"CL","ALCAZAR","S/N",,,,4006,"ALMERIA",,"ALMERIA",950268468,
19138,"AV","SAN JUAN BOSCO",32,,,,4005,"ALMERIA",,"ALMERIA",950268530,
19251,"CL","HERMANOS MACHADO",29,,,,4004,"ALMERIA",,"ALMERIA",950270549,
18844,"CL","GERONA",13,,,,4001,"ALMERIA",,"ALMERIA",950271424,
19147,"PZ","MARIN",1,,,,4003,"ALMERIA",,"ALMERIA",950272520,
19081,"AV","DE LA ESTACION",2,,,,4005,"ALMERIA",,"ALMERIA",950272842,
19139,"CL","PEDRO JOVER",49,,,,4002,"ALMERIA",,"ALMERIA",950273055,
18947,"AV","DE ALHAMBRA",19,,,,4007,"ALMERIA",,"ALMERIA",950274065,
18876,"CL","LA PILARICA","S/N",,,,4009,"ALMERIA",,"ALMERIA",950274211,"JUNTO A PORTAL Nº 9"
18832,"AV","CABO DE GATA",265,,,,4007,"ALMERIA",,"ALMERIA",950274658,
19127,"AV","FEDERICO GARCIA LORCA",,,,,4004,"ALMERIA",,"ALMERIA",950275765,
19047,"AV","DE LA ESTACION",36,,,,4006,"ALMERIA",,"ALMERIA",950276552,
19249,"CL","MEJORANA",,,,,4003,"ALMERIA",,"ALMERIA",950277121,"FASE 1"
19253,"CL","LOPAN",13,,,,4008,"ALMERIA",,"ALMERIA",950281011,
18875,"RB","AMATISTEROS",9,,,,4009,"ALMERIA",,"ALMERIA",950281119,
32047,"CL","GREGORIO MARAÑON",43,,,,4005,"ALMERIA",,"ALMERIA",,
19215,"CL","REAL",6,,,,4457,"ALMERIA",,"ALMOCITA",950510405,
18916,"CR","DE GRANADA",4,,,,4564,"ALMERIA",,"ALSODUX",950644015,
18824,"PS","DEL HUERTO",3,,,,4628,"ALMERIA",,"ANTAS",950453061,
19112,"CL","BARRANCO",21,,,,4660,"ALMERIA",,"ARBOLEAS",950449450,
19231,"CL","MAESTRO ARENAS",1,,,,4888,"ALMERIA",,"ARMUÑA DE ALMANZORA",950421215,
18987,"CL","NUEVA",1,,,,4889,"ALMERIA",,"BACARES",950421129,
18816,"CL","GRANADA",12,,,,4479,"ALMERIA",,"BAYARCAL",950512854,
18822,"CL","Escuelas",4,,,,4891,"ALMERIA",,"BAYARQUE",950420683,
18773,"CL","LOS LLANOS,","S/N",,,,4288,"ALMERIA",,"BEDAR",950398200,"LOCAL 2"
19116,"CL","SEVILLA",38,,,,4410,"ALMERIA",,"BENAHADUX",950310028,
