"DIRECCION","LOCALIDAD","provincia","NUMERO"
"CIUDAD DE LA JUSTICIA C/ FISCAL LUIS PORTERO GARCIA S/N MALAGA Juzgado de Instrucción Nº 4 de Málaga","MALAGA","Málaga",1
"Estadio Olímpico 4º planta","SEVILLA","Sevilla",1
"C/ VERMONDO RESTA, S/N. SEVILLA Juzgado de Primera Instancia Nº19 de Sevilla","SEVILLA","Sevilla",1
"Avda. de la Buhaira, 26-Juzgado de lo Penal Nº3 de Sevilla","SEVILLA","Sevilla",1
"REINA SOFIA, 11 ROQUETAS DE MAR Juzgado de Primera Instancia e Instrucción Nº4 de Roquetas de Mar","ROQUETAS DE MAR","Almería",1
"C/ TABLADILLA, S/N 41013 SEVILLA OFICINA PROCESO DE DATOS","SEVILLA","Sevilla",1
"AVENIDA DEL SUR, 5 GRANADA Unidad Funcional : Juzgado de lo Social Nº2 de Granada","GRANADA","Granada",1
"C/ FIELATO DE LA POSTA, S/N. MOTRIL Fiscalía de Motril","MOTRIL","Granada",1
"Plaza Reyes Magos, s/n","ROTA","Cádiz",1
"AVDA. DE LA BUHAIRA, 26 SEVILLA Juzgado de lo Penal Nº10 de Sevilla","SEVILLA","Sevilla",1
"C/ TOMAS HEREDIA 26-3ª (Unidad de Proceso de Datos).","MALAGA","Málaga",1
"AVDA. ALCALDE ALVARO DOMECQ, 1 JEREZ DE LA FRONTERA Unidad Funcional : Audiencia Provincial - Sección 8ª - Civil-Penal de Jerez de la","JEREZ DE LA FRONTERA","Cádiz",1
"PLAZA DE LA HOYA, 1 TORROX - Juzgado de Primera Instancia e Instrucción Nº2 de Torrox","TORROX","Málaga",1
"C/ SEVILLA, 23 LEBRIJA - Juzgado de Primera Instancia e Instrucción Nº2 de Lebrija","LEBRIJA","Sevilla",1
"C/ DOCTOR BARRAQUER, 2 CORDOBA a la entrada de juzgado de menores 2, a la derecha","CORDOBA","Córdoba",1
"AVDA. TENIENTE GENERAL CHAMORRO, 99 Juzgado de Primera Instancia e Instrucción Nº2 de Martos","MARTOS","Jaén",1
"AVDA. EUROPA 99 MARTOS Juzgado de Primera Instancia e Instrucción Nº1 de Martos","MARTOS","Jaén",1
"AVDA. DIEGO MARTÍNEZ BARRIOS N.10 41013 - SEVILLA","SEVILLA","Sevilla",1
"Avda. Manuel Agustín Heredia, 26-3ª (Unidad de Proceso de Datos).(ANIGUA COMANDANTE BENITEZ)","MALAGA","Málaga",1
"POLIGONO """"LOS CERROS"""". CALLE ALBAÑILERIA Nº 1 Oficina Comarcal Agraria de Ubeda","UBEDA","Jaén",1
"C/ TABLADILLA, S/N 41013 SEVILLA EDIFICIO 11 6ª PLANTA OFICINA PROCESO DE DATOS","SEVILLA","Sevilla",1
"C/ Indico, Edif. Indico, 3ª Pta Juzgado de lo Contencioso Administrativo Nº1 de Jerez de la FronteraJEREZ DE LA FRONTERA","JEREZ DE LA FRONTERA","Cádiz",1
"PLAZA DEL AYUNTAMIENTO, 1 DALIAS","DALIAS","Almería",1
"AVDA DEL TORITO, S/N","LINARES","Jaén",1
"CIUDAD DE LA JUSTICIA C/ FISCAL LUIS PORTERO GARCIA S/N MALAGA-Juzgado de lo Contencioso Administrativo Nº1 de Málaga","MALAGA","Málaga",1
"DOCTOR TERCEDOR, EDIF. LA FABRIQUILLA","MOTRIL","Granada",1
"CANONIGO MOLINA ALONSO, 8 ALMERIA-Juzgado de Primera Instancia Nº1 de Almería","ALMERIA","Almería",1
"PASAJE BOTICA, 13 4º","HUELVA","Huelva",1
"C/ Bergantin, 39, Los Bermejales - Unidad de Policia Andalucia","SEVILLA","Sevilla",1
"C/ FISCAL LUIS PORTERO GARCIA S/N MALAGA-Almacén Informática Ciudad de la Justicia de Málaga","MALAGA","Málaga",1
"Plaza Nueva, 8 Unidad Funcional : Decanato Instancia de Granada","GRANADA","Granada",1
"C/ VERMONDO RESTA, S/N. SEVILLA-Juzgado de lo Contencioso Administrativo Nº1 de Sevilla","SEVILLA","Sevilla",1
"C/ ARCIPRESTE FERNANDEZ CASADO, 1 MONTILLA-Juzgado de Primera Instancia e Instrucción Nº2 de Montilla","MONTILLA","Córdoba",1
"AVDA. ALCALDE NARCISO MARTIN NAVARRO, 28 AYAMONTE- Fiscalia de Ayamonte","AYAMONTE","Huelva",1
"AVDA. ALCALDE NARCISO MARTIN NAVARRO, 28 AYAMONTE-Fiscalia de Ayamonte","AYAMONTE","Huelva",1
"C/ Alameda Sundheim, 28- Fiscalía Provincial de Huelva (Sede: Audiencia Provincial)","HUELVA","Huelva",1
"C/ Fiscal Luis Portero García s/n Unidad Funcional : Juzgado de Primera Instancia Nº14 de Málaga","MALAGA","Málaga",1
"C/ ARQUITECTO BERGES, 28 JAEN Unidad Funcional : Juzgado de lo Contencioso Administrativo Nº1 de Jaén","JAEN","Jaén",1
"HUERTO CARRION, 2- Juzgado de Primera Instancia e Instrucción Nº1 de Vélez-Málaga","VELEZ-MALAGA","Málaga",1
"C/ PINTOR JUAN RUIZ, S/N SANTA FE Unidad Funcional : Juzgado de Primera Instancia e Instrucción Nº2 de Santa Fe","SANTA FE","Granada",1
"CARRETERA DE LAS AGUILAS, S/N VERA - Juzgado de Primera Instancia e Instrucción Nº3 de Vera","VERA","Almería",1
"PLAZA DE ESPAÑA, 11","ALHENDIN","Granada",1
"PZA. DE SAN JUAN, 1","JEREZ DE LA FRONTERA","Cádiz",1
"C/ DR. ANTONIO CABRERA, 40 POZOBLANCO Juzgado de Primera Instancia e Instrucción Nº1 de Pozoblanco","POZOBLANCO","Córdoba",1
"LUIS DE BERLANGA (ESQ. JAIME CHABARRI) ARCOS DE LA FRONTERA : Juzgado de Primera Instancia e Instrucción Nº3 de Arcos de la Frontera","ARCOS DE LA FRONTERA","Cádiz",1
"PLAZA DE LA CONSTITUCION, 4 CORDOBA Juzgado de Guardia de Córdoba","CORDOBA","Córdoba",1
"/. Luis García Berlanga (esq. Jaime Chabarri) SAN FERNANDO Juzgado de Primera Instancia e Instrucción Nº3 de Arcos de la Frontera","ARCOS DE LA FRONTERA","Cádiz",1
"AVDA ARIAS DE VELASCO, 15 MARBELLA Unidad Funcional : Juzgado de Primera Instancia Nº6 de Marbella","MARBELLA","Málaga",1
"C/ MARQUES DE LA ENSENADA, 2 GRANADA Equipo Técnico de Menores nº 2 de Granada","GRANADA","Granada",1
"AVDA. VIRGEN DEL CARMEN, 55 ALGECIRAS Unidad Funcional : Juzgado de lo Contencioso Administrativo Nº1 de Algeciras","ALGECIRAS","Cádiz",1
"C/ FISCAL LUIS PORTERO GARCIA S/N MALAGA- Juzgado de Primera Instancia Nº 4 de Málaga","MALAGA","Málaga",1
"C/ Historiador Díaz del Moral nº 1-E 2ª Plta, Esq C/Morería","CORDOBA","Córdoba",1
"Edificio TORRETRIANA Planta 4ª (Al lado de Jose Antonio Pomares) Juan Antonio Vizarron s/n","SEVILLA","Sevilla",1
"AVDA DEL AURORA, 56","MALAGA","Málaga",1
"C/ ARQUITECTO BERGES, 16 JAEN Juzgado de Primera Instancia Nº5 de Jaén","JAEN","Jaén",1
"PZ. CAMPO VERDE, NUM 2.","GRANADA","Granada",1
"PLAZA DE LA CONSTITUCION, 4 CORDOBA Juzgado de Vigilancia Penitenciaria nº 8 de Andalucía (Córdoba)","CORDOBA","Córdoba",1
"AVENIDA DEL SUR, 5 GRANADA Guardia Civil de Granada","GRANADA","Granada",1
"PLAZA SAN JOSE, S/N SAN FERNANDO Juzgado de Primera Instancia e Instrucción Nº2 de San Fernando","SAN FERNANDO","Cádiz",1
"AVDA. VIRGEN DEL CARMEN, 55 ALGECIRAS Juzgado de lo Contencioso Administrativo Nº1 de Algeciras","ALGECIRAS","Cádiz",1
"CIUDAD DE LA JUSTICIA C/ FISCAL LUIS PORTERO GARCIA S/N MALAGA -Juzgado de Primera Instancia Nº14 de Málaga","MALAGA","Málaga",1
"C/ TIRADO, S/N SAN NICOLAS DEL PUERTO","SAN NICOLAS DEL PUERTO","Sevilla",1
"AVD. DE LA CONSTITUCION, ESQUINA CON C/ ABETO PUERTO REAL Registro Civil de Puerto Real","PUERTO REAL","Cádiz",1
"AVDA. DE LA BUHAIRA, 29 - 2ª PLANTA SEVILLA Juzgado de Primera Instancia Nº26 de Sevilla (Familia","SEVILLA","Sevilla",1
"AVENIDA DEL SUR, 5 GRANADA -Unidad Informática D.P. Granada - Caleta-","GRANADA","Granada",1
"Avd. de la Constitución, esquina con C/ Abeto - Despacho Médico Forense de Puerto Real","PUERTO REAL","Cádiz",1
"AVDA. DE LA BUHAIRA, 26 SEVILLA - Juzgado de lo Social Nº6 de Sevilla","SEVILLA","Sevilla",1
"Avenida del Sur, 5 (Juzgados) - I.M.L. de Granada (Central)","GRANADA","Granada",1
"ISAAC NEWTON S/N EDIF. BLUENET","SEVILLA","Sevilla",1
"AVDA. LA AURORA, S/N 29002 MALAGA EDIFICIO NEGRO), planta 3 puerta 5","MALAGA","Málaga",1
"PASAJE BOTICA N. 13-4º, 21001-Huelva","HUELVA","Huelva",1
"PLAZA DE LA CONSTITUCION, 4 CORDOBA Juzgado de Primera Instancia e Instrucción Nº1 de Lucena","LUCENA","Córdoba",1
"HERMANOS MACHADO S/N 4ª PLANTA CENTRO OPERATIVO PROVINCIAL","ALMERIA","Almería",1
"Avda. Manuel Agustín Heredia, 26-3ª - Unidad de Proceso de Datos","MALAGA","Málaga",1
