"DIRECCION","LOCALIDAD","provincia","NUMERO"
"CIUDAD DE LA JUSTICIA C/ FISCAL LUIS PORTERO GARCIA S/N MALAGA","MALAGA","Málaga",314
"C/ TABLADILLA, S/N 41013 SEVILLA","SEVILLA","Sevilla",208
"TIENDAS, 12 ALMERIA","ALMERIA","Almería",147
"AVENIDA HYTASA, 14 SEVILLA","SEVILLA","Sevilla",137
"PASEO ALMERIA, 68 ALMERIA","ALMERIA","Almería",131
"C/ VERMONDO RESTA, S/N. SEVILLA","SEVILLA","Sevilla",119
"JUAN ANTONIO VIZARRON-EDF.TORRETRIANA (ISLA DE LA CARTUJA)","SEVILLA","Sevilla",112
"CALLE COMPOSITOR LEHMBERG RUIZ, 22 MALAGA","MALAGA","Málaga",109
"AVDA ISAAC NEWTON, 6ª PLANTA (PABELLON ITALIA). ISLA DE LA CARTUJA","SEVILLA","Sevilla",108
"AVENIDA LA INNOVACION, S/N SEVILLA","SEVILLA","Sevilla",108
"HYTASA, 14 SEVILLA","SEVILLA","Sevilla",99
"TORRETRIANA. CALLE JUAN ANTONIO VIZARRON S/N ISLA LA CARTUJA SEVILLA","SEVILLA","Sevilla",93
"C/ ALBERT EINSTEIN S/N EDIFICIO WALL TRADE CENTER PARCELA TA-16.2 SEVILLA","SEVILLA","Sevilla",93
"PLAZA DE LA CONSTITUCION, S/N ALGECIRAS","ALGECIRAS","Cádiz",85
"PLAZA ASDRUBAL , S/N CADIZ","CADIZ","Cádiz",85
"AVDA LA AURORA 56 MALAGA","MALAGA","Málaga",84
"AVDA. DE CARLOS V, S/N (PRADO DE SAN SEBASTIAN) SEVILLA","SEVILLA","Sevilla",82
"PLAZA DE LA CONSTITUCION, 4 CORDOBA","CORDOBA","Córdoba",79
"AVENIDA CARLOS III, S/N. (ANTIGUO EDIFICIO LA PRENSA) SEVILLA","SEVILLA","Sevilla",75
"PLAZA ESPAÑA, 19 CADIZ","CADIZ","Cádiz",75
"AVENIDA DEL SUR, 5 GRANADA","GRANADA","Granada",74
"AVDA DE LA ARBOLEDA, S/N","TOMARES","Sevilla",73
"DOMICILIO NUEVO: C/ CORDOBA 4, 29001 MALAGA MALAGA","MALAGA","Málaga",72
"AV LA INNOVACION, S/N. EDIFICIO MINISTER. SEVILLA SEVILLA","SEVILLA","Sevilla",72
"PLAZA LAS BATALLAS, 3 (CASTILLA, 4) JAEN","JAEN","Jaén",71
"AV. DEL SUR 11-13 - 18070 GRANADA GRANADA","GRANADA","Granada",70
"CALLE LOS MOZARABES, 8 HUELVA","HUELVA","Huelva",66
"CALLE JACINTOS 4 ESQUINA CALLE PERGOLAS CON CALLE TAMARINDOS CADIZ","CADIZ","Cádiz",65
"PLAZA LA MINA, 8 Y 10 CADIZ","CADIZ","Cádiz",65
"PL ASDRUBAL S/N. EDIFICIO JUNTA ANDALUCIA.3ª PLANTA. 11008. CADIZ. CADIZ","CADIZ","Cádiz",64
"Plaza Nueva, 4","SEVILLA","Sevilla",64
"AVDA. TOMAS GARCIA FIGUERAS, 14 JEREZ DE LA FRONTERA","JEREZ DE LA FRONTERA","Cádiz",61
"CALLE SANTO TOMAS AQUINO, S/N CORDOBA","CORDOBA","Córdoba",61
"CALLE JUAN ANTONIO VIZARRON, EDIFICIO TORRETRIANA (ISLA LA CARTUJA) SEVILLA","SEVILLA","Sevilla",61
"PLAZA ISABEL LA CATOLICA, 9 HUELVA","HUELVA","Huelva",61
"C/ SANLUCAR BARRAMEDA 3, 21071. HUELVA HUELVA","HUELVA","Huelva",60
"AVDA. ALCALDE ALVARO DOMECQ, 1 JEREZ DE LA FRONTERA","JEREZ DE LA FRONTERA","Cádiz",60
"AVENIDA RONDA TAMARGUILLO, S/N SEVILLA","SEVILLA","Sevilla",60
"SEVILLA, 14 CORDOBA","CORDOBA","Córdoba",58
"PASEO LA CARIDAD, 125. FINCA SANTA ISABEL. ALMERIA","ALMERIA","Almería",57
"AV. MANUEL SIUROT, 50. 41013 SEVILLA","SEVILLA","Sevilla",57
"SANLUCAR BARRAMEDA, 3. PLANTA 1 HUELVA","HUELVA","Huelva",57
"MAURICIO MORO PARETO 2-3ª PLTA. MALAGA MALAGA","MALAGA","Málaga",56
"AVENIDA LA AURORA, 47 MALAGA","MALAGA","Málaga",55
"AV. REPUBLICA ARGENTINA, 34 - 14004 CORDOBA CORDOBA","CORDOBA","Córdoba",55
"MARQUES LA ENSENADA,1 6ª PLANTA. GRANADA. GRANADA","GRANADA","Granada",55
"CTRA SEVILLA - CAZALLA KM. 12,2. ALCALA DEL RIO","ALCALA DEL RIO","Sevilla",54
"C/ ALAMEDA SUNDHEIM, 28 HUELVA","HUELVA","Huelva",53
"PASEO LA ESTACION, 19 JAEN","JAEN","Jaén",52
"PAGES DEL CORRO, 90","SEVILLA","Sevilla",51
"C/ ADOLFO RODRIGUEZ JURADO, Nº 1(EDIFICIO COLISEO) SEVILLA","SEVILLA","Sevilla",51
"AVDA. REPUBLICA ARGENTINA, 21 SEVILLA","SEVILLA","Sevilla",51
"AVENIDA JUAN XXIII MALAGA","MALAGA","Málaga",50
"AVENIDA REPUBLICA ARGENTINA, 25 SEVILLA","SEVILLA","Sevilla",50
"PLAZA NUEVA, 4 SEVILLA","SEVILLA","Sevilla",49
"C/ LOS MOZARABES, Nº 8. 21002 HUELVA","HUELVA","Huelva",49
"AVDA. MANUEL AGUSTIN HEREDIA, 26 (ESQ. ALAMEDA DE COLON , 17 ) MALAGA","MALAGA","Málaga",48
"C/ Dª. MARIA CORONEL, 6 SEVILLA","SEVILLA","Sevilla",47
"C/ SEDA, S/N (HYTASA) SEVILLA","SEVILLA","Sevilla",46
"AVENIDA LA INNOVACION, S/N SEVILLA SERVICIO DE INFORMATICA","SEVILLA","Sevilla",45
"AVDA. DE LA CONSTITUCION, 18 SEVILLA","SEVILLA","Sevilla",44
"AVDA. DE LA BUHAIRA, 29 - 2ª PLANTA SEVILLA","SEVILLA","Sevilla",44
"C/ CARRETERA DE RONDA, 101. DOCTOR FERRANZ, 7","ALMERIA","Almería",44
"SAN FELIPE, 5 CORDOBA","CORDOBA","Córdoba",43
"PZ. ASDRUBAL, 6. EDIFICIO ASDRUBAL - 11008 (ANTIGUA DIRECCION: PLAZA BLAS INFANTE, S/N)","CADIZ","Cádiz",43
"PARROCO JUAN A. JIMENEZ HIGUERO, 28 FUENGIROLA","FUENGIROLA","Málaga",42
"CALLE CANOVAS DEL CASTILLO, 35 CADIZ","CADIZ","Cádiz",41
"EDIFICIO CARRANZA, AVDA JUAN CARLOS I, S/N. CADIZ","CADIZ","Cádiz",41
"SAN JOSE, 13","SEVILLA","Sevilla",41
"ROMA, S/N ENTRADA POR AV. PALOS DE LA FRONTERA, S/N","SEVILLA","Sevilla",41
"C/ LOS EMIRES, N. 2 - 21002 HUELVA HUELVA","HUELVA","Huelva",38
"AVDA. REPUBLICA ARGENTINA SEVILLA","SEVILLA","Sevilla",37
"C/ REYES CATOLICOS, 43, PLANTA BAJA. ALMERIA. ALMERIA","ALMERIA","Almería",37
"C/ HERMANOS MACHADO, Nº 4. 04004 ALMERIA","ALMERIA","Almería",36
"CALLE SAN JOSE, 13 SEVILLA","SEVILLA","Sevilla",36
"CANONIGO MOLINA ALONSO, 8 ALMERIA","ALMERIA","Almería",36
"CTRA. ISLA MAYOR KM 3.5. AZNALCAZAR SEVILLA","AZNALCAZAR","Sevilla",35
"C/ JOAQUINA EGUARAS, 2 GRANADA","GRANADA","Granada",35
"C/ ALBERT EINSTEIN S/N EDIFICIO WALL TRADE CENTER PARCELA TA-16.2 ( ISLA DE LA CARTUJA )","SEVILLA","Sevilla",35
"ANCHA GRACIA, 6 GRANADA","GRANADA","Granada",34
"CALLE HERMANOS MACHADO, 4 ALMERIA","ALMERIA","Almería",34
"C/ EDUARDO GARCIA TREBIÑO, 15 JAEN","JAEN","Jaén",33
"AVDA. MADRID, Nº 19 23009 JAEN","JAEN","Jaén",33
"Avda. de la Buhaira, 26","SEVILLA","Sevilla",33
"PLAZA BLAS INFANTE, S/N. EDIFICIO ASDRUBAL CADIZ","CADIZ","Cádiz",33
"PASEO DE REDING, 20 MALAGA","MALAGA","Málaga",33
"AVENIDA HYTASA, 14 SEVILLA SERVICIO DE INFORMATICA","SEVILLA","Sevilla",33
"PASEO LA ESTACION, 15 JAEN","JAEN","Jaén",31
"C/ LEONARDO DA VINCI 21 SEVILLA","SEVILLA","Sevilla",31
"TABLADILLA, S/N","SEVILLA","Sevilla",31
"ALAMEDA PRINCIPAL, 18 MALAGA","MALAGA","Málaga",30
"PASEO DE ALMERÍA, 68","ALMERIA","Almería",30
"C/ TOMAS AQUINO, Nº 1, 5º Y 6º 14004 CORDOBA","CORDOBA","Córdoba",29
"AV.PALMERA, 19/AV. MANUEL SIUROT. 50. EDIF. WINTERTHUR, 2, 2ª Y 3ª PLANTA. SEVILLA","SEVILLA","Sevilla",29
"PLAZA LA GAVIDIA, 10 SEVILLA","SEVILLA","Sevilla",28
"PASEO VICTORIA EUGENIA, S/N ALGECIRAS","ALGECIRAS","Cádiz",28
"AVENIDA MANUEL AGUSTIN HEREDIA, 26 MALAGA","MALAGA","Málaga",28
"C/ LOS BALBOS, S/N CADIZ","CADIZ","Cádiz",28
"PLAZA SAN ANDRES, 2 SEVILLA","SEVILLA","Sevilla",27
"PLAZA DE ANTONIO ZIGAFETA S/N SANLUCAR DE BARRAMEDA","SANLUCAR DE BARRAMEDA","Cádiz",27
"CALLE TRAJANO 17 SEVILLA","SEVILLA","Sevilla",27
"AVDA. DIEGO MARTÍNEZ BARRIO N.1041013 - SEVILLA","SEVILLA","Sevilla",27
"C/ NUESTRA SEÑORA DEL CARMEN, S/N DOS HERMANAS","DOS HERMANAS","Sevilla",26
"AVDA. MARTIN ALONSO PINZON, 6","HUELVA","Huelva",26
"PLAZA ESPAÑA, PUERTA NAVARRA SEVILLA","SEVILLA","Sevilla",25
"C/ ARQUITECTO BERGES, 16 JAEN","JAEN","Jaén",25
"C/ BODEGUEROS 21 MALAGA","MALAGA","Málaga",25
"SAN FELIPE 5 CORDOBA","CORDOBA","Córdoba",25
"AVDA. LA AURORA, S/N 29002 MALAGA","MALAGA","Málaga",25
"POLIGONO CHINALES, PARCELA 26 CORDOBA","CORDOBA","Córdoba",25
"CALLE CAPITULARES, 2 (ESQUINA CALLE PEDRO LOPEZ) CORDOBA","CORDOBA","Córdoba",25
"CALLE COMPOSITOR LEHMBERG RUIZ, 22","MALAGA","Málaga",25
"AVDA. ALCALDE NARCISO MARTIN NAVARRO, 28 AYAMONTE","AYAMONTE","Huelva",24
"AVDA ARIAS DE VELASCO, 15 MARBELLA","MARBELLA","Málaga",24
"PASEO LA BOMBA, 11 GRANADA","GRANADA","Granada",24
"AVENIDA ERITAÑA, 2 SEVILLA","SEVILLA","Sevilla",24
"AVENIDA ALEMANIA, 3 HUELVA","HUELVA","Huelva",24
"AVENIDA LUIS MONTOTO, 87-89 SEVILLA","SEVILLA","Sevilla",24
"CUESTA PROFESOR CLAVERO,12","GRANADA","Granada",24
"Mª AUXILIADORA, 2","CADIZ","Cádiz",24
"AVENIDA RAMON Y CAJAL, 35 SEVILLA","SEVILLA","Sevilla",23
"C/ ESTEBAN RAMIREZ MARTINEZ, 2 - EDIF. BORJA, PLANTA 5ª Y 6ª JAEN","JAEN","Jaén",23
"PLAZA DE ESPAÑA, S/NSEVILLA 41071 SEVILLA","SEVILLA","Sevilla",23
"CALLE GRAN VIA COLON, 56 GRANADA","GRANADA","Granada",23
"AVDA. CHARLES DARWIN (PARQUE CIENTIFICO TECNOLOGICO CARTUJA 93) SEVILLA","SEVILLA","Sevilla",23
"GRAN VIA, 56 GRANADA","GRANADA","Granada",23
"CALLE LAS TABLAS, 11 Y 13 GRANADA","GRANADA","Granada",23
"C/ HERMANOS PINZON 13 MALAGA","VELEZ-MALAGA","Málaga",23
"PLZA CONTRATACION S/N","SEVILLA","Sevilla",23
"PLAZA LA CONSTITUCION, 3.- 11071 CADIZ","CADIZ","Cádiz",22
"PZA. DEL RETORTILLO S/N CHICLANA DE LA FRONTERA","CHICLANA DE LA FRONTERA","Cádiz",22
"AVENIDA REPÚBLICA ARGENTINA, 25","SEVILLA","Sevilla",22
"C/ CUESTA DE LAS CALESAS, S/N CADIZ","CADIZ","Cádiz",21
"CARRETERA ANTIGUA SIERRA NEVADA, KM 7 PINOS GENIL","PINOS GENIL","Granada",21
"CAMINO DE PURCHIL S/N APDO 2027 GRANADA","GRANADA","Granada",21
"AVENIDA DEL SUR, 5 GRANADA Unidad Informática D.P. Granada - Caleta","GRANADA","Granada",21
"AVENIDA GRAN CAPITAN 12 BAJA CORDOBA","CORDOBA","Córdoba",20
"AVDA. MANUEL SIUROT 4 HUELVA","HUELVA","Huelva",20
"PLAZA LA CONTRATACION. SEVILLA","SEVILLA","Sevilla",20
"Avd. Diego Martínez Barrios, nº 10.","SEVILLA","Sevilla",20
"AVENIDA LA BORBOLLA, 1 SEVILLA","SEVILLA","Sevilla",20
"CALLE PADRE MEDIAVILLA, 2 SEVILLA","SEVILLA","Sevilla",20
"PLAZA NUEVA, 10 GRANADA","GRANADA","Granada",20
"AVDA. DE LA BUHAIRA, 26 SEVILLA","SEVILLA","Sevilla",20
"CALLE MARQUES LARIOS, 9, 2ª PLANTA MALAGA","MALAGA","Málaga",20
"C/ FEDERICO GARCIA LORCA, 3 Y 5","SEVILLA","Sevilla",20
"CALLE JUAN ANTONIO DE VIZARRÓN, EDIFICIO TORRETRIANA (ISLA DE LA CARTUJA)","SEVILLA","Sevilla",20
"AVDA LA AURORA 56","MALAGA","Málaga",20
"GRAN CAPITAN, 33 CORDOBA","CORDOBA","Córdoba",19
"CALLE MUÑOZ OLIVE, 1, PLANTA 3 SEVILLA","SEVILLA","Sevilla",19
"AVDA. AMERICO VESPUCIO, 5-2, P2. ISLA DE LA CARTUJA SEVILLA","SEVILLA","Sevilla",19
"CIUDAD DE LA JUSTICIA C/ FISCAL LUIS PORTERO GARCIA S/N MALAGA Decanato de Málaga","MALAGA","Málaga",19
"AVDA. PALMA DE MALLORCA, 24 TORREMOLINOS","TORREMOLINOS","Málaga",18
"AVDA. MANUEL AGUSTIN HEREDIA, 26 MALAGA","MALAGA","Málaga",18
"C/ MENENDEZ PELAYO, 2 SEVILLA","SEVILLA","Sevilla",18
"REPUBLICA ARGENTINA Nº26, ENTREPLANTA SEVILLA, CP 41011 SEVILLA","SEVILLA","Sevilla",18
"AVDA. PALMA DE MALLORCA, 32 TORREMOLINOS","TORREMOLINOS","Málaga",18
"C/ CAMINO SALADILLO S/N HUELVA","HUELVA","Huelva",18
"C/ FIELATO DE LA POSTA, S/N. MOTRIL","MOTRIL","Granada",18
"AVENIDA LA AURORA, 47. EDIF. SERVICIOS MULTIPLES MALAGA","MALAGA","Málaga",18
"GARCIA LORCA, 12 18120 ALHAMA GRANADA","ALHAMA DE GRANADA","Granada",18
"ARAPILES, 10- 12 (ANTIGUA TRAJANO, 13)","ALMERIA","Almería",18
"REPORTING COORDINADOR","SEVILLA","Sevilla",18
"PLAZA LA TRINIDAD 11 GRANADA","GRANADA","Granada",17
"PASAJE COMPOSITOR LEHMBERG RUIZ, 18 O PLAZA SAN JUAN LA CRUZ, 18 MALAGA","MALAGA","Málaga",17
"MAYORAZGO, S/N MARBELLA","MARBELLA","Málaga",17
"PASEO LA ESTACION 19 PLTA. 2 Y 4 JAEN","JAEN","Jaén",17
"AVDA. MALAGA, 21","MONTILLA","Córdoba",17
"ADOLFO RODRIGUEZ JURADO, 1","SEVILLA","Sevilla",17
"AVDA. LA PALMERA, 24 SEVILLA","SEVILLA","Sevilla",17
"CALLE JUAN ANTONIO CAVESTANY S/N ESQUINA C/JUPITER SEVILLA","SEVILLA","Sevilla",17
"AVENIDA LA INNOVACION, S/N SEVILLA Unidad Funcional: SERVICIO DE INFORMATICA","SEVILLA","Sevilla",17
"JAPON, 37","SEVILLA","Sevilla",17
"C/ LA MERCED 1 ALMERIA","ALMERIA","Almería",16
"C/ HERMANOS MACHADO 4ª PLANTA ALMERIA","ALMERIA","Almería",16
"REAL DE LA ALHAMBRA,S/N GRANADA","GRANADA","Granada",16
"HERMANOS MACHADO S/N ALMERIA","ALMERIA","Almería",16
"C/ DOCE DE OCTUBRE, 2 CORDOBA","CORDOBA","Córdoba",16
"CARRETERA ISLA MENOR, S/N (BELLAVISTA) SEVILLA","SEVILLA","Sevilla",16
"SANLUCAR BARRAMEDA 3 HUELVA","HUELVA","Huelva",16
"HYTASA, 14 SEVILLA Servicio de Informática","SEVILLA","Sevilla",16
"C/GRAHAM BELL, 5 SEVILLA","SEVILLA","Sevilla",15
"MONASTERIO DE LA CARTUJA STA MARIA DE LAS CUEVAS. AV AMERICO VESPUCIO 2","SEVILLA","Sevilla",15
"C/ DUQUE RIVAS 25 MALAGA","MALAGA","Málaga",15
"CARRETERA TORREQUEBRADILLA S/N JAEN","JAEN","Jaén",15
"ADOLFO RODRIGUEZ JURADO Nº 1","SEVILLA","Sevilla",15
"CTRA. EL PORTIL - EL ROMPIDO","CARTAYA","Huelva",15
"C/ JOAQUINA EGUARAS, 2 EDIFICIO ALMANJAYAR","GRANADA","Granada",15
"AV. ISAAC NEWTON, 3 PARQUE TECNOLAGICO CARTUJA 93 - EDIFICIO BLUENET SEVILLA","SEVILLA","Sevilla",15
"PASAJE EGUILUZ 36 MALAGA","MALAGA","Málaga",14
"AVENIDA ALEMANIA 1 HUELVA","HUELVA","Huelva",14
"AVDA. 28 FEBRERO, 70 SAN JUAN AZNALFARACHE","SAN JUAN DE AZNALFARACHE","Sevilla",14
"AVENIDA DE LA BUHAIRA 31 SEVILLA","SEVILLA","Sevilla",14
"CARRETERA ALFACAR, KM 13. POLIGONO LA CARTUJA GRANADA","GRANADA","Granada",14
"Calle de las Tiendas, 12","ALMERIA","Almería",14
"EDUARDO GARCIA TRIVIÑO, 15","JAEN","Jaén",14
"AVENIDA LA AURORA, 47 MALAGA PROCESO DE DATOS (PLANTA 10)","MALAGA","Málaga",14
"AVENIDA REPUBLICA ARGENTINA, 27, 2ª PLANTA SEVILLA","SEVILLA","Sevilla",14
"Avda.Manuel Siurot, nº 50","SEVILLA","Sevilla",14
"C/GRANADA, S/N 18550 IZNALLOZ","IZNALLOZ","Granada",14
"C/ SAN LORENZO, 15 ALMERIA","ALMERIA","Almería",14
"C/ PONTON, 49 LINARES","LINARES","Jaén",14
"PLAZA ASDRUBAL, S/N.","CADIZ","Cádiz",14
"JESUS NAZARENO, 21 (ANT.AVD. ALEMANIA 1 )","HUELVA","Huelva",14
"PASEO LA ESTACION, 19 JAEN 5ª PLANTA","JAEN","Jaén",13
"C/ PARLAMENTO ANDALUCIA S/N SEVILLA","SEVILLA","Sevilla",13
"CALLE MAURICIO MORO PARETO MALAGA","MALAGA","Málaga",13
"CALLE MADRE DOLORES MARQUEZ, S/N EDIF. PUERTA CORDOBA SEVILLA","SEVILLA","Sevilla",13
"AVDA. EUROPA 49-51 MALAGA","MALAGA","Málaga",13
"C/ MIGUEL BUENO, 26. ESQ. AVDA. DE MIJAS FUENGIROLA","FUENGIROLA","Málaga",13
"PLAZA DEL DUQUE, 12 ALCALA DE GUADAIRA","ALCALA DE GUADAIRA","Sevilla",13
"AVDA. DE LA AURORA, 69 MALAGA","MALAGA","Málaga",13
"CTRA. RONDA, S/N 4ª PLANTA EDIFICIO ANTIGUA BOLA AZUL ALMERIA","ALMERIA","Almería",13
"PLAZA LA MINA, 8 Y 10 CADIZ CONSEJERÍA DE EDUCACIÓN","CADIZ","Cádiz",13
"AVENIDA LA INNOVACION, S/N SEVILLA - SERVICIO DE INFORMATICA","SEVILLA","Sevilla",13
"CIUDAD DE LA JUSTICIA C/ FISCAL LUIS PORTERO GARCIA S/N MALAGA Fiscalía de Menores de Málaga","MALAGA","Málaga",13
"CIUDAD DE LA JUSTICIA C/ FISCAL LUIS PORTERO GARCIA S/N MALAGA I.M.L. de Málaga (Sede Central)","MALAGA","Málaga",13
"C/ ALTOZANO ARZOBISPO JOSE MANUEL ESTEPA, S/N. ANDUJAR","ANDUJAR","Jaén",13
"PLAZA RAMON Y CAJAL, 6 CORDOBA","CORDOBA","Córdoba",13
"C/ ARAPILES, 10-12 (ANTIGUA DIRECCIÓN: TRAJANO, 13)","ALMERIA","Almería",13
"PASEO MARITIMO, S/N. CADIZ","CADIZ","Cádiz",12
"PLAZA SAN JOSE, S/N SAN FERNANDO","SAN FERNANDO","Cádiz",12
"AVDA. TENIENTE GENERAL CHAMORRO, 99 MARTOS","MARTOS","Jaén",12
"PLAZA CARLOS CANO, S/N RONDA","RONDA","Málaga",12
"C/ HISTORIADOR DIAZ DEL MORAL Nº 1-E 2ª PLTA, ESQ C/MORERIA CORDOBA","CORDOBA","Córdoba",12
"SANTA MARIA DEL VALLE, S/N JAEN","JAEN","Jaén",12
"PLAZA DIEGO VAZQUEZ OTERO, 5 - EDIF. TORRE ALMENARA MALAGA","MALAGA","Málaga",12
"ISABEL LA CATOLICA Nº 13 PLANTA 1ª","CADIZ","Cádiz",12
"C/ SAN GREGORIO Nº7 SEVILLA","SEVILLA","Sevilla",12
"PLAZA LA CONSTITUCION 13 JAEN","JAEN","Jaén",12
"C/ GAITAN AYALA, 3 - 11206 ALGECIRAS","ALGECIRAS","Cádiz",12
"AVDA. AMERICO VESPUCIO, 13 SEVILLA","SEVILLA","Sevilla",12
"AV. VOLTAIRE (EDIFICIO APEX) JEREZ DE LA FRONTERA","JEREZ DE LA FRONTERA","Cádiz",12
"C/ ALAMEDA SUNDHEIM, 17 HUELVA","HUELVA","Huelva",12
"C/ ALAMEDA SUNDHEIM, 28 HUELVA Servicio Común de Notificaciones y Embargos de Huelva","HUELVA","Huelva",12
"C/ Menéndez Pelayo, 2","SEVILLA","Sevilla",12
"AVDA. MIGUEL DE CERVANTES, S/N ANTEQUERA Juzgado de Primera Instancia e Instrucción Nº1 de Antequera","ANTEQUERA","Málaga",12
"Pasaje Botica num. 13-4º","HUELVA","Huelva",12
"C/ Isaac Newton, 4 6ª planta","SEVILLA","Sevilla",12
"CALLE MARQUES NERVION, 40 SEVILLA","SEVILLA","Sevilla",11
"PLAZA SAN JOSE, S/N CARMONA","CARMONA","Sevilla",11
"C/ MANUEL TOMAS DE HEREDIA, 26 MALAGA","MALAGA","Málaga",11
"C/ CRISTOBAL COLON 12 CADIZ","CADIZ","Cádiz",11
"POLIGONO HYTASA, 14. NAVE 5 SEVILLA","SEVILLA","Sevilla",11
"C/ CAPITAN MARCOS GARCIA 2 MALAGA","MALAGA","Málaga",11
"AVENIDA MANUEL RECIO, S/N CAMPILLOS","CAMPILLOS","Málaga",11
"TOMAS DE AQUINO 1 PLANTA 1","CORDOBA","Córdoba",11
"C/ ALTAMIRA 19-21 ALMERIA","ALMERIA","Almería",11
"AVDA MENENDEZ VIDAL S/N (FINCA ALAMEDA DEL OBISPO) APDO. 3092 CORDOBA","CORDOBA","Córdoba",11
"C/ CANTARERO, 18.- 29200 ANTEQUERA","ANTEQUERA","Málaga",11
"C/ HERMANOS MACHADO 4 - PLANTA 2 ALMERIA","ALMERIA","Almería",11
"C/ SEVILLA, 23 LEBRIJA","LEBRIJA","Sevilla",11
"AVDA. COSTA DEL SOL, 12 ALMUÑECAR","ALMUÑECAR","Granada",11
"AVENIDA HYTASA, 14 SEVILLA Unidad Funcional: SERVICIO DE INFORMÁTICA","SEVILLA","Sevilla",11
"C/ ARQUITECTO PEREZ CARAZA, 14 HUELVA Juzgado de lo Social Nº2 de Huelva","HUELVA","Huelva",11
"AVENIDA LA AURORA, 47 MALAGA planta 10","MALAGA","Málaga",11
"AVENIDA LA AURORA, 47 MALAGA - PROCESO DE DATOS (PLANTA 10)","MALAGA","Málaga",11
"CTRA. NACIONAL BAILEN - MOTRIL KM. 18,5. APDO 50, MENGIBAR","MENGIBAR","Jaén",11
"PLAZA DE LA CONSTITUCION, S/N ALGECIRAS Juzgado de Primera Instancia Nº1 de Algeciras","ALGECIRAS","Cádiz",11
"AVENIDA RONDA LOS TEJARES, 16 CORDOBA","CORDOBA","Córdoba",11
"CTRA. NAL IV - KM. 637","JEREZ DE LA FRONTERA","Cádiz",11
"CIUDAD DE LA JUSTICIA C/ FISCAL LUIS PORTERO GARCIA S/N MALAGA Fiscalía de Málaga - Sección Penal 1 y 2","MALAGA","Málaga",11
"C/ BATALLON DE CAZADORES DE TARIFA, S/N SAN ROQUE Juzgado de Primera Instancia e Instrucción Nº2 de San Roque","SAN ROQUE","Cádiz",11
"PLAZA ESPAÑA, 19","CADIZ","Cádiz",11
"Sanlúcar de Barrameda 3","HUELVA","Huelva",11
"PLAZA SAN ANDRÉS, 2","SEVILLA","Sevilla",11
"GRAN VIA, 56","GRANADA","Granada",11
"C/ DUQUE DE LERMA, 8 SANLUCAR LA MAYOR","SANLUCAR LA MAYOR","Sevilla",10
"C/ HUERTO, 10 OSUNA","OSUNA","Sevilla",10
"AUTOVIA DEL MEDITERRANEO. SALIDA 420 MOJONERA, LA","LA MOJONERA","Almería",10
"AVD. DE LA CONSTITUCION, ESQUINA CON C/ ABETO PUERTO REAL","PUERTO REAL","Cádiz",10
"C/VAZQUEZ LOPEZ, 2 HUELVA","HUELVA","Huelva",10
"CTRA. DIQUE JUAN CARLOS I, KM 3 HUELVA","HUELVA","Huelva",10
"C/ VENEZUELA 1 MALAGA","MALAGA","Málaga",10
"PADRE GRAS,1 JAEN","JAEN","Jaén",10
"AVDA. MIRAMAR 33 FUENGIROLA","FUENGIROLA","Málaga",10
"C/ BATALLON DE CAZADORES DE TARIFA, S/N SAN ROQUE","SAN ROQUE","Cádiz",10
"AVENIDA LA INNOVACION, S/N EDIFICIO ARENA 1 SEVILLA","SEVILLA","Sevilla",10
"PLAZA ASDRUBAL, S/N CADIZ","CADIZ","Cádiz",10
"C/ PEDRO MUÑOZ TORRE S/NEDF. HYTASALCOD. POSTAL 41013 SEVILLA","SEVILLA","Sevilla",10
"CALLE JUAN ANTONIO VIZARRON, EDIFICIO TORRETRIANA (ISLA LA CARTUJA) SEVILLA SÓTANO 1 POR EL ASCENSOR C, FRENTE AL SERVICIO MÉDICO","SEVILLA","Sevilla",10
"AVDA. JULIO CARO BAROJA S/N 21002 HUELVA HUELVA","HUELVA","Huelva",10
"C/ AMADOR LOS RIOS S/N CORDOBA","CORDOBA","Córdoba",10
"AVDA. MARCOS ORBANEJA, 40 LORA DEL RIO","LORA DEL RIO","Sevilla",10
"C/ ECHEGARAY, S/N HUELVA","HUELVA","Huelva",10
"C/ MENENDEZ PELAYO, 2 SEVILLA Decanato de Sevilla","SEVILLA","Sevilla",10
"AVDA. DE CARLOS V, S/N (PRADO DE SAN SEBASTIAN) SEVILLA Fiscalía Provincial de Sevilla (Sede: Audiencia Provincial)","SEVILLA","Sevilla",10
"C/ Carlos III S/N (Edificio Prensa Centro)","SEVILLA","Sevilla",10
"SAN FELIPE, 5","CORDOBA","Córdoba",10
"AVENIDA DE CARLOS III, S/N. (ANTIGUO EDIFICIO DE LA PRENSA)","SEVILLA","Sevilla",10
"C/ MARQUES DE LA ENSENADA, 2 GRANADA","GRANADA","Granada",9
"REINA SOFIA, 11 ROQUETAS DE MAR","ROQUETAS DE MAR","Almería",9
"PLAZA NUEVA, 8 GRANADA","GRANADA","Granada",9
"C/ HERMANOS MACHADO Nº4, 5ª PLANTA ALMERIA","ALMERIA","Almería",9
"Plaza de la Constitución, 4","CORDOBA","Córdoba",9
"CALLE PROFESOR SAINZ CANTERO, 6 GRANADA","GRANADA","Granada",9
"AVDA BUENO MONREAL 45 PTA.3","SEVILLA","Sevilla",9
"GERONA, 14 ALMERIA","ALMERIA","Almería",9
