"CL"%"ESTRELLA  AGENA"%7%"ESTRELLA  AGENA 7"%41%41091%2%2
"UR"%"AUGUSTA RESIDENCIAL"%7%"AUGUSTA RESIDENCIAL 7"%41%41091%2%3
"CL"%"PILAR DE GRACIA"%6%"PILAR DE GRACIA 6"%41%41091%80%4
"CL"%"FIRMAMENTO"%20%"FIRMAMENTO 20"%41%41091%8%5
"AV"%"GRAHAM BELL"%1%"GRAHAM BELL 1"%41%41091%3%6
"CL"%"ANTONIO SUSILLO"%46%"ANTONIO SUSILLO 46"%41%41091%9%7
"CL"%"ARROYO"%55%"ARROYO 55"%41%41091%263%8
"CL"%"AV CIENCIAS ED.PARQUE REY 10 6"%%"AV CIENCIAS ED.PARQUE REY 10 6 "%41%41091%1%9
"CL"%"GORRION"%2%"GORRION 2"%41%41091%13%10
"CL"%"JUSTINO MATUTE"%19%"JUSTINO MATUTE 19"%41%41091%101%11
"CL"%"ALFONSO XII"%60%"ALFONSO XII 60"%41%41091%39%12
"CL"%"THAILANDIA"%2%"THAILANDIA 2"%41%41091%112%13
"CL"%"LIRA"%5%"LIRA 5"%41%41091%20%14
