IP,N.º Peticiones
10.226.139.11 ,1
10.226.141.72 ,1
10.227.200.37 ,1
10.227.200.41 ,1
10.238.105.22 ,1
10.226.136.20 ,2
10.227.200.38 ,2
10.227.200.46 ,2
10.227.200.48 ,2
10.227.200.50 ,2
10.227.200.53 ,2
10.118.164.90 ,3
10.227.200.36 ,3
10.226.137.228,8
10.227.245.94 ,18
10.235.95.32 ,25
10.226.138.10 ,68
10.235.87.151 ,382
10.235.87.147 ,1059
10.235.87.154 ,1350
10.235.87.149 ,1404
10.235.87.150 ,1681
10.235.87.148 ,1885
10.235.87.153 ,2015
10.226.135.195,2887
10.235.87.152 ,21002
