Territorio;CODIGO_INE2;Nº de declaraciones;Rentas netas declaradas;Rentas netas del trabajo;Rentas netas de estimación directa;Rentas netas de estimación objetiva;Otro tipo de rentas (netas)
Almería;4;256557;3973104063.37;3194762531.98;159170138.03;211396023.28;402605113.6
Cádiz;11;449838;7954128534.67;6899235370.37;247930964.17;176934588.6;628532943.67
Córdoba;14;336644;5305897600.49;4292382130.9;227089596.25;209360021.35;573713798.86
Granada;18;367163;6220805175.28;5082038575.95;286895981.51;192808780.56;639152318.34
Huelva;21;197551;3134990022.53;2681876843.5;105973775.68;89403460.2;254858479.18
Jaén;23;290047;4206853324.86;3270002493.69;175958728.75;331030282.07;427821478.14
Málaga;29;577557;10102086986.22;8290769607.17;457581486.4;242101278.38;1094756478.94
Sevilla;41;745214;14031444365.72;11820201255.86;487713858.92;393772894.12;1327249296.25
